"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"T-shirt/top","T-shirt/top","5","jd8uu76h","856","fold-1"
"T-shirt/top","Trouser","5","jd8uu76h","1","fold-1"
"T-shirt/top","Pullover","5","jd8uu76h","19","fold-1"
"T-shirt/top","Dress","5","jd8uu76h","22","fold-1"
"T-shirt/top","Coat","5","jd8uu76h","3","fold-1"
"T-shirt/top","Sandal","5","jd8uu76h","2","fold-1"
"T-shirt/top","Shirt","5","jd8uu76h","94","fold-1"
"T-shirt/top","Sneaker","5","jd8uu76h","0","fold-1"
"T-shirt/top","Bag","5","jd8uu76h","3","fold-1"
"T-shirt/top","Ankle boot","5","jd8uu76h","0","fold-1"
"Trouser","T-shirt/top","5","jd8uu76h","4","fold-1"
"Trouser","Trouser","5","jd8uu76h","970","fold-1"
"Trouser","Pullover","5","jd8uu76h","0","fold-1"
"Trouser","Dress","5","jd8uu76h","21","fold-1"
"Trouser","Coat","5","jd8uu76h","3","fold-1"
"Trouser","Sandal","5","jd8uu76h","0","fold-1"
"Trouser","Shirt","5","jd8uu76h","1","fold-1"
"Trouser","Sneaker","5","jd8uu76h","0","fold-1"
"Trouser","Bag","5","jd8uu76h","1","fold-1"
"Trouser","Ankle boot","5","jd8uu76h","0","fold-1"
"Pullover","T-shirt/top","5","jd8uu76h","22","fold-1"
"Pullover","Trouser","5","jd8uu76h","0","fold-1"
"Pullover","Pullover","5","jd8uu76h","829","fold-1"
"Pullover","Dress","5","jd8uu76h","19","fold-1"
"Pullover","Coat","5","jd8uu76h","83","fold-1"
"Pullover","Sandal","5","jd8uu76h","0","fold-1"
"Pullover","Shirt","5","jd8uu76h","47","fold-1"
"Pullover","Sneaker","5","jd8uu76h","0","fold-1"
"Pullover","Bag","5","jd8uu76h","0","fold-1"
"Pullover","Ankle boot","5","jd8uu76h","0","fold-1"
"Dress","T-shirt/top","5","jd8uu76h","30","fold-1"
"Dress","Trouser","5","jd8uu76h","3","fold-1"
"Dress","Pullover","5","jd8uu76h","9","fold-1"
"Dress","Dress","5","jd8uu76h","901","fold-1"
"Dress","Coat","5","jd8uu76h","41","fold-1"
"Dress","Sandal","5","jd8uu76h","0","fold-1"
"Dress","Shirt","5","jd8uu76h","13","fold-1"
"Dress","Sneaker","5","jd8uu76h","0","fold-1"
"Dress","Bag","5","jd8uu76h","3","fold-1"
"Dress","Ankle boot","5","jd8uu76h","0","fold-1"
"Coat","T-shirt/top","5","jd8uu76h","2","fold-1"
"Coat","Trouser","5","jd8uu76h","0","fold-1"
"Coat","Pullover","5","jd8uu76h","94","fold-1"
"Coat","Dress","5","jd8uu76h","24","fold-1"
"Coat","Coat","5","jd8uu76h","843","fold-1"
"Coat","Sandal","5","jd8uu76h","0","fold-1"
"Coat","Shirt","5","jd8uu76h","36","fold-1"
"Coat","Sneaker","5","jd8uu76h","0","fold-1"
"Coat","Bag","5","jd8uu76h","1","fold-1"
"Coat","Ankle boot","5","jd8uu76h","0","fold-1"
"Sandal","T-shirt/top","5","jd8uu76h","0","fold-1"
"Sandal","Trouser","5","jd8uu76h","0","fold-1"
"Sandal","Pullover","5","jd8uu76h","0","fold-1"
"Sandal","Dress","5","jd8uu76h","1","fold-1"
"Sandal","Coat","5","jd8uu76h","0","fold-1"
"Sandal","Sandal","5","jd8uu76h","970","fold-1"
"Sandal","Shirt","5","jd8uu76h","0","fold-1"
"Sandal","Sneaker","5","jd8uu76h","14","fold-1"
"Sandal","Bag","5","jd8uu76h","0","fold-1"
"Sandal","Ankle boot","5","jd8uu76h","15","fold-1"
"Shirt","T-shirt/top","5","jd8uu76h","125","fold-1"
"Shirt","Trouser","5","jd8uu76h","0","fold-1"
"Shirt","Pullover","5","jd8uu76h","105","fold-1"
"Shirt","Dress","5","jd8uu76h","31","fold-1"
"Shirt","Coat","5","jd8uu76h","83","fold-1"
"Shirt","Sandal","5","jd8uu76h","0","fold-1"
"Shirt","Shirt","5","jd8uu76h","646","fold-1"
"Shirt","Sneaker","5","jd8uu76h","0","fold-1"
"Shirt","Bag","5","jd8uu76h","10","fold-1"
"Shirt","Ankle boot","5","jd8uu76h","0","fold-1"
"Sneaker","T-shirt/top","5","jd8uu76h","0","fold-1"
"Sneaker","Trouser","5","jd8uu76h","0","fold-1"
"Sneaker","Pullover","5","jd8uu76h","0","fold-1"
"Sneaker","Dress","5","jd8uu76h","0","fold-1"
"Sneaker","Coat","5","jd8uu76h","0","fold-1"
"Sneaker","Sandal","5","jd8uu76h","32","fold-1"
"Sneaker","Shirt","5","jd8uu76h","0","fold-1"
"Sneaker","Sneaker","5","jd8uu76h","949","fold-1"
"Sneaker","Bag","5","jd8uu76h","1","fold-1"
"Sneaker","Ankle boot","5","jd8uu76h","18","fold-1"
"Bag","T-shirt/top","5","jd8uu76h","7","fold-1"
"Bag","Trouser","5","jd8uu76h","0","fold-1"
"Bag","Pullover","5","jd8uu76h","2","fold-1"
"Bag","Dress","5","jd8uu76h","7","fold-1"
"Bag","Coat","5","jd8uu76h","4","fold-1"
"Bag","Sandal","5","jd8uu76h","1","fold-1"
"Bag","Shirt","5","jd8uu76h","1","fold-1"
"Bag","Sneaker","5","jd8uu76h","3","fold-1"
"Bag","Bag","5","jd8uu76h","975","fold-1"
"Bag","Ankle boot","5","jd8uu76h","0","fold-1"
"Ankle boot","T-shirt/top","5","jd8uu76h","0","fold-1"
"Ankle boot","Trouser","5","jd8uu76h","0","fold-1"
"Ankle boot","Pullover","5","jd8uu76h","0","fold-1"
"Ankle boot","Dress","5","jd8uu76h","0","fold-1"
"Ankle boot","Coat","5","jd8uu76h","0","fold-1"
"Ankle boot","Sandal","5","jd8uu76h","7","fold-1"
"Ankle boot","Shirt","5","jd8uu76h","1","fold-1"
"Ankle boot","Sneaker","5","jd8uu76h","37","fold-1"
"Ankle boot","Bag","5","jd8uu76h","0","fold-1"
"Ankle boot","Ankle boot","5","jd8uu76h","955","fold-1"
