"Step","fold-1 - val_accuracy","fold-1 - val_accuracy__MIN","fold-1 - val_accuracy__MAX"
"0","0.8428333333333333","0.8428333333333333","0.8428333333333333"
"1","0.8648333333333333","0.8648333333333333","0.8648333333333333"
"2","0.8648333333333333","0.8648333333333333","0.8648333333333333"
"3","0.8746666666666667","0.8746666666666667","0.8746666666666667"
"4","0.87925","0.87925","0.87925"
"5","0.8895833333333333","0.8895833333333333","0.8895833333333333"
"6","0.8815833333333334","0.8815833333333334","0.8815833333333334"
"7","0.8895833333333333","0.8895833333333333","0.8895833333333333"
"8","0.888","0.888","0.888"
"9","0.8858333333333334","0.8858333333333334","0.8858333333333334"
"10","0.8931666666666667","0.8931666666666667","0.8931666666666667"
"11","0.8901666666666667","0.8901666666666667","0.8901666666666667"
"12","0.8965","0.8965","0.8965"
"13","0.88025","0.88025","0.88025"
"14","0.8935833333333333","0.8935833333333333","0.8935833333333333"
"15","0.893","0.893","0.893"
"16","0.8943333333333333","0.8943333333333333","0.8943333333333333"
"17","0.8943333333333333","0.8943333333333333","0.8943333333333333"
