"Step","fold-1 - val_accuracy","fold-1 - val_accuracy__MIN","fold-1 - val_accuracy__MAX"
"0","0.85425","0.85425","0.85425"
"1","0.8666666666666667","0.8666666666666667","0.8666666666666667"
"2","0.8745","0.8745","0.8745"
"3","0.87525","0.87525","0.87525"
"4","0.8830833333333333","0.8830833333333333","0.8830833333333333"
"5","0.8861666666666667","0.8861666666666667","0.8861666666666667"
"6","0.88475","0.88475","0.88475"
"7","0.8863333333333333","0.8863333333333333","0.8863333333333333"
"8","0.8863333333333333","0.8863333333333333","0.8863333333333333"
"9","0.8911666666666667","0.8911666666666667","0.8911666666666667"
"10","0.8939166666666667","0.8939166666666667","0.8939166666666667"
"11","0.8975","0.8975","0.8975"
"12","0.8854166666666666","0.8854166666666666","0.8854166666666666"
"13","0.8934166666666666","0.8934166666666666","0.8934166666666666"
"14","0.895","0.895","0.895"
"15","0.89275","0.89275","0.89275"
"16","0.8948333333333334","0.8948333333333334","0.8948333333333334"
