"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"T-shirt/top","T-shirt/top","5","4hn8fq8x","863","fold-1"
"T-shirt/top","Trouser","5","4hn8fq8x","7","fold-1"
"T-shirt/top","Pullover","5","4hn8fq8x","19","fold-1"
"T-shirt/top","Dress","5","4hn8fq8x","18","fold-1"
"T-shirt/top","Coat","5","4hn8fq8x","5","fold-1"
"T-shirt/top","Sandal","5","4hn8fq8x","2","fold-1"
"T-shirt/top","Shirt","5","4hn8fq8x","81","fold-1"
"T-shirt/top","Sneaker","5","4hn8fq8x","0","fold-1"
"T-shirt/top","Bag","5","4hn8fq8x","5","fold-1"
"T-shirt/top","Ankle boot","5","4hn8fq8x","0","fold-1"
"Trouser","T-shirt/top","5","4hn8fq8x","0","fold-1"
"Trouser","Trouser","5","4hn8fq8x","978","fold-1"
"Trouser","Pullover","5","4hn8fq8x","1","fold-1"
"Trouser","Dress","5","4hn8fq8x","15","fold-1"
"Trouser","Coat","5","4hn8fq8x","3","fold-1"
"Trouser","Sandal","5","4hn8fq8x","0","fold-1"
"Trouser","Shirt","5","4hn8fq8x","2","fold-1"
"Trouser","Sneaker","5","4hn8fq8x","0","fold-1"
"Trouser","Bag","5","4hn8fq8x","1","fold-1"
"Trouser","Ankle boot","5","4hn8fq8x","0","fold-1"
"Pullover","T-shirt/top","5","4hn8fq8x","19","fold-1"
"Pullover","Trouser","5","4hn8fq8x","0","fold-1"
"Pullover","Pullover","5","4hn8fq8x","811","fold-1"
"Pullover","Dress","5","4hn8fq8x","12","fold-1"
"Pullover","Coat","5","4hn8fq8x","100","fold-1"
"Pullover","Sandal","5","4hn8fq8x","0","fold-1"
"Pullover","Shirt","5","4hn8fq8x","58","fold-1"
"Pullover","Sneaker","5","4hn8fq8x","0","fold-1"
"Pullover","Bag","5","4hn8fq8x","0","fold-1"
"Pullover","Ankle boot","5","4hn8fq8x","0","fold-1"
"Dress","T-shirt/top","5","4hn8fq8x","24","fold-1"
"Dress","Trouser","5","4hn8fq8x","20","fold-1"
"Dress","Pullover","5","4hn8fq8x","22","fold-1"
"Dress","Dress","5","4hn8fq8x","887","fold-1"
"Dress","Coat","5","4hn8fq8x","25","fold-1"
"Dress","Sandal","5","4hn8fq8x","0","fold-1"
"Dress","Shirt","5","4hn8fq8x","19","fold-1"
"Dress","Sneaker","5","4hn8fq8x","0","fold-1"
"Dress","Bag","5","4hn8fq8x","3","fold-1"
"Dress","Ankle boot","5","4hn8fq8x","0","fold-1"
"Coat","T-shirt/top","5","4hn8fq8x","1","fold-1"
"Coat","Trouser","5","4hn8fq8x","0","fold-1"
"Coat","Pullover","5","4hn8fq8x","80","fold-1"
"Coat","Dress","5","4hn8fq8x","42","fold-1"
"Coat","Coat","5","4hn8fq8x","838","fold-1"
"Coat","Sandal","5","4hn8fq8x","0","fold-1"
"Coat","Shirt","5","4hn8fq8x","36","fold-1"
"Coat","Sneaker","5","4hn8fq8x","0","fold-1"
"Coat","Bag","5","4hn8fq8x","3","fold-1"
"Coat","Ankle boot","5","4hn8fq8x","0","fold-1"
"Sandal","T-shirt/top","5","4hn8fq8x","0","fold-1"
"Sandal","Trouser","5","4hn8fq8x","0","fold-1"
"Sandal","Pullover","5","4hn8fq8x","0","fold-1"
"Sandal","Dress","5","4hn8fq8x","0","fold-1"
"Sandal","Coat","5","4hn8fq8x","0","fold-1"
"Sandal","Sandal","5","4hn8fq8x","968","fold-1"
"Sandal","Shirt","5","4hn8fq8x","0","fold-1"
"Sandal","Sneaker","5","4hn8fq8x","17","fold-1"
"Sandal","Bag","5","4hn8fq8x","0","fold-1"
"Sandal","Ankle boot","5","4hn8fq8x","15","fold-1"
"Shirt","T-shirt/top","5","4hn8fq8x","131","fold-1"
"Shirt","Trouser","5","4hn8fq8x","3","fold-1"
"Shirt","Pullover","5","4hn8fq8x","83","fold-1"
"Shirt","Dress","5","4hn8fq8x","25","fold-1"
"Shirt","Coat","5","4hn8fq8x","92","fold-1"
"Shirt","Sandal","5","4hn8fq8x","1","fold-1"
"Shirt","Shirt","5","4hn8fq8x","660","fold-1"
"Shirt","Sneaker","5","4hn8fq8x","0","fold-1"
"Shirt","Bag","5","4hn8fq8x","5","fold-1"
"Shirt","Ankle boot","5","4hn8fq8x","0","fold-1"
"Sneaker","T-shirt/top","5","4hn8fq8x","0","fold-1"
"Sneaker","Trouser","5","4hn8fq8x","0","fold-1"
"Sneaker","Pullover","5","4hn8fq8x","0","fold-1"
"Sneaker","Dress","5","4hn8fq8x","0","fold-1"
"Sneaker","Coat","5","4hn8fq8x","0","fold-1"
"Sneaker","Sandal","5","4hn8fq8x","17","fold-1"
"Sneaker","Shirt","5","4hn8fq8x","0","fold-1"
"Sneaker","Sneaker","5","4hn8fq8x","970","fold-1"
"Sneaker","Bag","5","4hn8fq8x","0","fold-1"
"Sneaker","Ankle boot","5","4hn8fq8x","13","fold-1"
"Bag","T-shirt/top","5","4hn8fq8x","8","fold-1"
