"Step","fold-1 - val_acc","fold-1 - val_acc__MIN","fold-1 - val_acc__MAX"
"0","0.8858333333333334","0.8858333333333334","0.8858333333333334"
"1","0.892","0.892","0.892"
"2","0.9065833333333333","0.9065833333333333","0.9065833333333333"
"3","0.9131666666666667","0.9131666666666667","0.9131666666666667"
"4","0.9134166666666667","0.9134166666666667","0.9134166666666667"
"5","0.91975","0.91975","0.91975"
"6","0.9181666666666667","0.9181666666666667","0.9181666666666667"
"7","0.9198333333333333","0.9198333333333333","0.9198333333333333"
"8","0.92425","0.92425","0.92425"
"9","0.9241666666666667","0.9241666666666667","0.9241666666666667"
"10","0.9266666666666666","0.9266666666666666","0.9266666666666666"
"11","0.92625","0.92625","0.92625"
"12","0.9290833333333334","0.9290833333333334","0.9290833333333334"
"13","0.9293333333333333","0.9293333333333333","0.9293333333333333"
"14","0.9305","0.9305","0.9305"
"15","0.9308333333333333","0.9308333333333333","0.9308333333333333"
"16","0.9271666666666667","0.9271666666666667","0.9271666666666667"
"17","0.9306666666666666","0.9306666666666666","0.9306666666666666"
"18","0.932","0.932","0.932"
"19","0.931","0.931","0.931"
"20","0.9299166666666666","0.9299166666666666","0.9299166666666666"
"21","0.93025","0.93025","0.93025"
"22","0.92925","0.92925","0.92925"
"23","0.9319166666666666","0.9319166666666666","0.9319166666666666"
